,grating_freq,direction,duration,scaling,stim_type,trigger,blocks.thisN,resp.corr,resp.rt
813,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
814,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
815,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
816,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
817,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
818,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
819,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
820,20.0,increament,0.72,120.0,oddball,46.0,2.0,1.0,0.4941694000008283
821,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
822,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
823,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
824,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
825,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
826,20.0,increament,0.84,140.0,oddball,47.0,2.0,1.0,0.5954887999978382
827,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
828,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
829,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
830,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
831,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
832,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
833,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
834,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
835,20.0,increament,0.96,160.0,oddball,48.0,2.0,1.0,0.5228139999962877
836,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
837,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
838,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
839,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
840,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
841,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
842,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
843,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
844,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
845,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
846,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
847,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
848,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
849,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
850,20.0,decreament,0.24,40.0,oddball,42.0,2.0,1.0,0.5486795000033453
851,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
852,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
853,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
854,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
855,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
856,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
857,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
858,20.0,decreament,0.36,60.0,oddball,43.0,2.0,1.0,0.6151576999982353
859,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
860,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
861,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
862,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
863,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
864,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
865,20.0,decreament,0.48,80.0,oddball,44.0,2.0,0.0,
866,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
867,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
868,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
869,20.0,decreament,0.6,100.0,standard,41.0,2.0,1.0,
870,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
871,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
872,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
873,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
874,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
875,20.0,increament,0.84,140.0,oddball,47.0,2.0,1.0,0.253650499987998
876,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
877,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
878,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
879,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
880,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
881,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
882,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
883,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
884,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
885,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
886,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
887,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
888,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
889,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
890,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
891,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
892,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
893,20.0,increament,0.72,120.0,oddball,46.0,2.0,0.0,
894,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
895,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
896,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
897,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
898,20.0,increament,0.6,100.0,standard,45.0,2.0,1.0,
899,20.0,increament,0.96,160.0,oddball,48.0,2.0,1.0,0.6815777000010712
900,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
901,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
902,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
903,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
904,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
905,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
906,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
907,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
908,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
909,0.0,decreament,0.24,40.0,oddball,2.0,3.0,1.0,0.4971106000011787
910,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
911,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
912,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
913,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
914,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
915,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
916,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
917,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
918,0.0,decreament,0.6,100.0,standard,1.0,3.0,0.0,0.6112732000037795
919,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
920,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
921,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
922,0.0,decreament,0.48,80.0,oddball,4.0,3.0,1.0,0.7695900999970036
923,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
924,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
925,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
926,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
927,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
928,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
929,0.0,decreament,0.36,60.0,oddball,3.0,3.0,0.0,
930,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
931,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
932,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
933,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
934,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
935,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
936,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
937,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
938,0.0,increament,0.72,120.0,oddball,6.0,3.0,0.0,
939,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
940,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
941,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
942,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
943,0.0,increament,0.84,140.0,oddball,7.0,3.0,1.0,1.2287542999983998
944,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
945,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
946,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
947,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
948,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
949,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
950,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
951,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
952,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
953,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
954,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
955,0.0,increament,0.96,160.0,oddball,8.0,3.0,0.0,
956,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
957,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
958,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
959,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
960,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
961,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
962,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
963,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
964,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
965,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
966,0.0,decreament,0.36,60.0,oddball,3.0,3.0,1.0,0.5616243999975268
967,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
968,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
969,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
970,0.0,decreament,0.48,80.0,oddball,4.0,3.0,1.0,1.1846800000057556
971,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
972,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
973,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
974,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
975,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
976,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
977,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
978,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
979,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
980,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
981,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
982,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
983,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
984,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
985,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
986,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
987,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
988,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
989,0.0,decreament,0.24,40.0,oddball,2.0,3.0,1.0,0.5108029999973951
990,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
991,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
992,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
993,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
994,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
995,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
996,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
997,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
998,0.0,increament,0.84,140.0,oddball,7.0,3.0,1.0,0.6471622999961255
999,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1000,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1001,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1002,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1003,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1004,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1005,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1006,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1007,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1008,0.0,increament,0.96,160.0,oddball,8.0,3.0,1.0,0.5499008999904618
1009,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1010,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1011,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1012,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1013,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1014,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1015,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1016,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1017,0.0,increament,0.72,120.0,oddball,6.0,3.0,0.0,
1018,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1019,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1020,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1021,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1022,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1023,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1024,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1025,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1026,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1027,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1028,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1029,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1030,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1031,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1032,0.0,decreament,0.36,60.0,oddball,3.0,3.0,1.0,0.6121825000009267
1033,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1034,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1035,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1036,0.0,decreament,0.24,40.0,oddball,2.0,3.0,1.0,0.6151811000017915
1037,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1038,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1039,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1040,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1041,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1042,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1043,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1044,0.0,decreament,0.48,80.0,oddball,4.0,3.0,0.0,
1045,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1046,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1047,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1048,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1049,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1050,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1051,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1052,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1053,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1054,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1055,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1056,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1057,0.0,increament,0.96,160.0,oddball,8.0,3.0,1.0,0.2726633999991463
1058,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1059,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1060,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1061,0.0,increament,0.84,140.0,oddball,7.0,3.0,1.0,0.4131312999961665
1062,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1063,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1064,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1065,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1066,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1067,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1068,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1069,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1070,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1071,0.0,increament,0.72,120.0,oddball,6.0,3.0,0.0,
1072,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1073,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1074,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1075,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1076,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1077,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1078,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1079,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1080,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1081,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1082,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1083,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1084,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1085,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1086,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1087,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1088,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1089,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1090,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1091,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1092,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1093,0.0,decreament,0.36,60.0,oddball,3.0,3.0,1.0,0.5876959000015631
1094,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1095,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1096,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1097,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1098,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1099,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1100,0.0,decreament,0.48,80.0,oddball,4.0,3.0,0.0,
1101,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1102,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1103,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1104,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1105,0.0,decreament,0.24,40.0,oddball,2.0,3.0,1.0,0.5079447000025539
1106,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1107,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1108,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1109,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1110,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1111,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1112,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1113,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1114,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1115,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1116,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1117,0.0,increament,0.96,160.0,oddball,8.0,3.0,1.0,0.5937422999995761
1118,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1119,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1120,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1121,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1122,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1123,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1124,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1125,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1126,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1127,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1128,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1129,0.0,increament,0.72,120.0,oddball,6.0,3.0,0.0,
1130,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1131,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1132,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1133,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1134,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1135,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1136,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1137,0.0,increament,0.84,140.0,oddball,7.0,3.0,1.0,1.0326903999957722
1138,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1139,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1140,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1141,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1142,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1143,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1144,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1145,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1146,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1147,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1148,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1149,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1150,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1151,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1152,0.0,decreament,0.24,40.0,oddball,2.0,3.0,1.0,0.5243099999934202
1153,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1154,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1155,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1156,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1157,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1158,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1159,0.0,decreament,0.36,60.0,oddball,3.0,3.0,1.0,0.5172007999935886
1160,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1161,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1162,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1163,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1164,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1165,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1166,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1167,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1168,0.0,decreament,0.6,100.0,standard,1.0,3.0,1.0,
1169,0.0,decreament,0.48,80.0,oddball,4.0,3.0,0.0,
1170,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1171,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1172,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1173,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1174,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1175,0.0,increament,0.72,120.0,oddball,6.0,3.0,0.0,
1176,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1177,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1178,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1179,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1180,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1181,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1182,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1183,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1184,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1185,0.0,increament,0.96,160.0,oddball,8.0,3.0,1.0,0.9300366999959806
1186,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1187,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1188,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1189,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1190,0.0,increament,0.6,100.0,standard,5.0,3.0,0.0,0.0496572999982163
1191,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1192,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1193,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1194,0.0,increament,0.84,140.0,oddball,7.0,3.0,0.0,
1195,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1196,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1197,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1198,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
1199,0.0,increament,0.6,100.0,standard,5.0,3.0,1.0,
